tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-22,2,1022650.46,1022650.46,162548.63,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-21,1,1077317.71,1077317.71,107190.23,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,1078462.45,1078462.45,132651.6,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-22,2,1420943.0,1420943.0,201010.41,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,1465830.02,1465830.02,200133.95,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-21,1,1297812.39,1297812.39,181379.11,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,1149099.46,1149099.46,140358.22,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-22,2,1317230.63,1317230.63,156312.45,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-21,1,1231891.18,1231891.18,135456.72,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-21,1,1135063.76,1135063.76,138642.48,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-22,2,1132855.11,1132855.11,172783.63,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-21,1,1096972.1,1096972.1,133236.47,False
