date,inflow_amount,outflow_amount,transaction_count,unique_counterparty_count,refund_rate
2025-07-01,378530.67,276063.31,9,6,0.0088
2025-07-02,400254.37,316949.07,5,9,0.0076
2025-07-03,259966.64,201810.49,11,4,0.013
2025-07-04,284000.26,241980.1,3,6,0.0123
2025-07-05,156725.21,133051.37,3,2,0.0143
2025-07-06,192930.09,139479.52,6,6,0.0081
2025-07-07,340735.01,275815.02,10,8,0.0159
2025-07-08,408498.9,297459.71,5,12,0.0164
2025-07-09,262991.73,208888.73,6,6,0.0059
2025-07-10,469300.06,357932.39,7,13,0.0055
2025-07-11,367260.49,280222.08,6,4,0.0137
2025-07-12,136107.99,105275.95,4,1,0.009
2025-07-13,166395.31,137296.32,6,2,0.0119
2025-07-14,360325.44,285551.92,12,13,0.0117
2025-07-15,263743.26,213966.08,3,7,0.0057
2025-07-16,248493.22,199610.24,8,6,0.0131
2025-07-17,238236.22,180401.94,10,4,0.0161
2025-07-18,280405.35,220147.55,16,6,0.0148
2025-07-19,191135.63,142697.41,5,6,0.0079
2025-07-20,106137.45,86038.53,2,3,0.0042
2025-07-21,256733.37,203953.13,5,9,0.0127
2025-07-22,386250.55,287229.44,5,8,0.0147
2025-07-23,339654.13,248987.04,10,5,0.0123
2025-07-24,282207.77,211152.21,6,4,0.012
2025-07-25,400170.6,323443.78,7,7,0.0072
2025-07-26,172809.43,143325.21,4,3,0.0091
2025-07-27,137836.76,116342.97,6,4,0.01
2025-07-28,292569.35,236643.0,4,6,0.0094
2025-07-29,0.0,0.0,0,0,0.0
2025-07-30,410819.23,346693.94,6,5,0.0125
2025-07-31,358277.4,264521.61,8,9,0.0083
2025-08-01,307791.2,247727.4,7,9,0.0071
2025-08-02,125566.29,104336.74,2,2,0.0103
2025-08-03,147300.27,119176.72,2,2,0.005
2025-08-04,348514.34,285291.89,6,5,0.0093
2025-08-05,292515.58,235861.69,7,5,0.011
2025-08-06,255627.4,228797.38,5,2,0.011
2025-08-07,409582.43,330576.16,13,6,0.0141
2025-08-08,301324.47,237269.92,7,8,0.0165
2025-08-09,249236.73,200375.34,7,7,0.0109
2025-08-10,186891.24,143671.14,5,5,0.0089
2025-08-11,344305.17,299089.99,8,6,0.0152
2025-08-12,441326.77,409242.01,8,7,0.0107
2025-08-13,0.0,0.0,0,0,0.0
2025-08-14,317740.18,228631.15,3,2,0.0077
2025-08-15,382534.79,321843.58,4,3,0.0104
2025-08-16,164835.34,130027.41,7,9,0.0042
2025-08-17,136822.46,107301.32,5,2,0.0113
2025-08-18,395304.07,321482.48,6,8,0.0132
2025-08-19,338806.92,286543.31,5,8,0.0104
2025-08-20,306968.33,255190.65,6,10,0.0065
2025-08-21,301590.64,243782.18,13,4,0.0124
2025-08-22,408951.68,319751.82,6,12,0.007
2025-08-23,137037.7,108959.66,4,6,0.0041
2025-08-24,157970.22,126392.95,7,4,0.0159
2025-08-25,291103.82,244788.24,4,6,0.0057
2025-08-26,352855.38,287607.04,8,3,0.0073
2025-08-27,283848.1,226388.28,4,1,0.006
2025-08-28,270506.17,217572.6,8,5,0.0084
2025-08-29,508015.24,383157.96,15,6,0.0119
2025-08-30,134183.63,110635.08,3,3,0.0069
2025-08-31,125432.56,102816.28,5,1,0.0117
2025-09-01,334264.29,248165.56,9,6,0.0115
2025-09-02,399069.5,302631.55,6,5,0.0113
2025-09-03,315621.88,244377.04,4,5,0.0119
2025-09-04,325421.47,228945.98,5,5,0.012
2025-09-05,389128.45,299121.62,5,5,0.0052
2025-09-06,179830.84,140258.94,8,4,0.0108
2025-09-07,209615.0,175958.1,6,6,0.0044
2025-09-08,356982.94,279441.04,6,5,0.004
2025-09-09,219300.31,178693.17,6,1,0.0091
2025-09-10,412892.54,337250.93,11,6,0.0079
2025-09-11,438024.23,334765.08,11,8,0.0082
2025-09-12,410202.53,355268.67,5,3,0.0081
2025-09-13,0.0,0.0,0,0,0.0
2025-09-14,119171.2,93437.15,5,1,0.0075
2025-09-15,378335.49,275815.15,5,7,0.0114
2025-09-16,432504.85,360820.38,9,9,0.0128
2025-09-17,477916.95,423139.45,5,8,0.0079
2025-09-18,249778.56,204038.14,8,5,0.0073
2025-09-19,322530.61,234796.65,5,3,0.0102
2025-09-20,112960.53,84388.53,6,1,0.0115
2025-09-21,164718.1,140333.36,2,2,0.0112
2025-09-22,500722.21,439649.36,8,9,0.0152
2025-09-23,376814.91,279367.5,9,11,0.0119
2025-09-24,0.0,0.0,0,0,0.0
2025-09-25,212259.47,183899.38,5,6,0.0126
2025-09-26,470004.42,389797.88,6,4,0.0076
2025-09-27,184886.24,151444.32,3,5,0.0081
2025-09-28,197517.48,165344.94,8,5,0.0077
2025-09-29,381484.63,321154.05,6,6,0.0113
2025-09-30,374339.26,303103.66,8,4,0.0124
2025-10-01,371345.88,295500.14,6,6,0.0112
2025-10-02,546797.13,439202.34,13,5,0.0082
2025-10-03,362347.93,270916.24,5,8,0.0085
2025-10-04,147923.85,113304.52,4,3,0.0162
2025-10-05,169060.23,129671.55,6,4,0.005
2025-10-06,476230.68,349199.27,9,2,0.0085
2025-10-07,436376.11,316663.59,11,12,0.0123
2025-10-08,568836.34,428258.76,6,11,0.0044
2025-10-09,386385.76,310749.2,13,5,0.0084
2025-10-10,463290.14,378088.33,2,5,0.009
2025-10-11,181106.69,151102.97,6,2,0.0108
2025-10-12,107215.45,93256.26,2,2,0.0094
2025-10-13,538530.4,457652.56,10,8,0.011
2025-10-14,357647.39,262828.22,6,9,0.0047
2025-10-15,389345.06,308971.7,6,3,0.0116
2025-10-16,404001.06,319098.56,10,5,0.0131
2025-10-17,524098.79,396208.21,7,6,0.0102
2025-10-18,243298.46,197445.9,6,1,0.0092
2025-10-19,166198.23,137062.17,1,3,0.0069
2025-10-20,502162.41,416885.44,5,9,0.0077
2025-10-21,347585.43,279423.9,8,5,0.0027
2025-10-22,448879.85,387915.12,2,7,0.0068
2025-10-23,325872.64,261452.92,6,4,0.0101
2025-10-24,377400.27,315975.63,10,11,0.0057
2025-10-25,222422.92,172632.32,5,5,0.0128
2025-10-26,175666.27,132524.55,4,2,0.0097
2025-10-27,353894.69,296927.69,13,4,0.0113
2025-10-28,617446.83,474388.15,14,8,0.0124
2025-10-29,511939.54,404834.91,6,12,0.0097
2025-10-30,432680.49,358247.08,6,4,0.0081
2025-10-31,311102.89,246453.99,7,0,0.006
2025-11-01,204886.34,170560.13,5,3,0.0127
2025-11-02,246930.38,208598.78,6,6,0.0083
2025-11-03,555430.68,458435.75,10,10,0.0085
2025-11-04,469797.75,401110.8,7,16,0.0108
2025-11-05,351563.75,244634.75,6,9,0.0089
2025-11-06,458859.87,372095.78,5,8,0.0126
2025-11-07,382612.47,310981.26,8,12,0.0087
2025-11-08,204366.07,166885.82,6,4,0.0083
2025-11-09,204743.3,166271.77,10,4,0.0098
2025-11-10,627431.67,489372.1,7,14,0.0074
2025-11-11,489542.36,422885.9,9,6,0.0122
2025-11-12,483594.11,372991.46,8,6,0.0096
2025-11-13,247466.51,210826.18,4,4,0.0141
2025-11-14,406827.41,315788.67,7,11,0.0115
2025-11-15,197646.98,159770.59,6,5,0.0121
2025-11-16,140565.15,113605.1,5,6,0.0074
2025-11-17,427268.2,349221.45,10,7,0.0085
2025-11-18,381590.13,305181.98,4,7,0.0074
2025-11-19,506660.24,386434.46,9,4,0.0091
2025-11-20,323654.92,265333.96,2,8,0.01
2025-11-21,385172.7,308278.74,8,10,0.0094
2025-11-22,0.0,0.0,0,0,0.0
2025-11-23,137366.26,115570.07,5,1,0.0117
2025-11-24,485609.42,395218.54,11,9,0.0146
2025-11-25,315143.4,242087.71,6,7,0.012
2025-11-26,538005.26,444385.11,4,7,0.0127
2025-11-27,358104.53,291880.9,6,6,0.018
2025-11-28,611124.27,514098.15,8,11,0.0113
2025-11-29,157918.34,131110.59,3,0,0.0122
2025-11-30,155661.68,125029.5,3,2,0.0129
2025-12-01,339306.5,247805.99,8,10,0.0094
2025-12-02,321708.32,238576.0,5,2,0.0177
2025-12-03,469773.62,354492.33,9,8,0.0104
2025-12-04,379190.43,281080.96,5,9,0.0103
2025-12-05,512676.38,431013.57,8,10,0.0109
2025-12-06,179172.28,134917.01,7,2,0.012
2025-12-07,191509.55,162422.74,6,7,0.009
2025-12-08,300793.26,247049.04,4,9,0.0077
2025-12-09,471208.2,354680.65,9,8,0.0078
