month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,36,556510.0,133562.4,True,0.0146
2025-08,33,521219.66,125092.72,True,0.0298
2025-09,34,539997.58,64799.71,False,0.0176
2025-10,37,601677.85,144402.68,True,0.0229
2025-11,38,617909.28,148298.23,True,0.0352
2025-12,38,625415.51,150099.72,True,0.0282
2026-01,36,582807.86,139873.89,True,0.0137
2026-02,35,575540.83,138129.8,True,0.0203
2026-03,38,629208.7,151010.09,True,0.0259
2026-04,36,599187.3,143804.95,True,0.0226
2026-05,36,587724.83,141053.96,True,0.0116
2026-06,36,595264.72,142863.53,True,0.0248
