month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,38,601798.49,144431.64,True,0.0779
2025-08,40,688353.75,165204.9,True,0.0872
2025-09,41,676878.76,162450.9,True,0.1217
2025-10,39,660285.4,158468.5,True,0.1226
2025-11,42,690562.1,82867.45,False,0.1395
2025-12,39,621096.76,149063.22,True,0.1529
2026-01,37,610338.66,146481.28,True,0.1639
2026-02,37,588377.13,141210.51,True,0.1841
2026-03,36,604489.24,145077.42,True,0.1815
2026-04,37,612836.97,73540.44,False,0.2033
2026-05,36,572614.63,137427.51,True,0.2217
2026-06,37,603284.53,144788.29,True,0.2401
