tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-23,3,900109.55,900109.55,114172.88,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-27,7,773183.27,773183.27,132184.92,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-11-03,14,892676.19,892676.19,117638.38,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-12-04,14,906030.06,906030.06,111338.29,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-26,6,847642.85,847642.85,117726.19,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-21,1,751474.23,751474.23,67150.97,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-03-03,11,856020.54,856020.54,96897.5,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-04-02,13,835110.61,905800.76,109163.67,True
2026-03-01,GSTR-1/3B,2026-04-20,2026-05-02,12,749337.98,749337.98,102737.92,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-30,10,846146.6,846146.6,131124.03,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-27,7,749915.2,749915.2,94919.63,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-25,5,690211.92,690211.92,99065.88,False
