month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,19,302472.5,36296.7,False,0.1286
2025-08,17,272330.38,32679.65,False,0.1355
2025-09,17,273376.44,65610.35,True,0.1501
2025-10,19,312369.11,74968.59,True,0.1609
2025-11,18,294492.01,70678.08,True,0.1616
2025-12,17,277345.27,66562.86,True,0.1676
2026-01,17,274775.15,65946.04,True,0.1764
2026-02,16,261803.29,31416.39,False,0.1792
2026-03,16,263778.6,63306.86,True,0.1962
2026-04,16,274920.14,32990.42,False,0.2177
2026-05,15,242810.3,29137.24,False,0.2244
2026-06,17,282243.83,67738.52,True,0.2318
