tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-22,2,647623.41,647623.41,84796.22,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,666584.59,666584.59,94975.13,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-21,1,747020.41,694507.11,79650.55,True
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-21,1,851947.52,851947.52,90998.49,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,918419.04,918419.04,114431.71,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,856991.6,856991.6,99843.42,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-21,1,752926.29,752926.29,94072.38,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,713140.18,713140.18,63116.48,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,797425.5,876451.12,92880.85,True
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,788185.34,788185.34,88249.81,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-21,1,777162.27,777162.27,83585.77,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,708601.23,708601.23,90186.28,False
