month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,30,480839.15,115401.4,True,0.0825
2025-08,30,495964.15,119031.4,True,0.0869
2025-09,30,495206.74,118849.62,True,0.0749
2025-10,37,590576.25,141738.3,True,0.0823
2025-11,39,632908.31,151897.99,True,0.0951
2025-12,33,556129.52,133471.08,True,0.0894
2026-01,32,525889.97,126213.59,True,0.0969
2026-02,34,561813.33,134835.2,True,0.0925
2026-03,34,559114.91,134187.58,True,0.1048
2026-04,33,554431.13,133063.47,True,0.0906
2026-05,32,526259.98,126302.4,True,0.1061
2026-06,30,507904.05,121896.97,True,0.1087
