month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,29,438132.75,105151.86,True,0.0452
2025-08,29,464096.42,111383.14,True,0.0473
2025-09,32,509021.69,122165.21,True,0.0427
2025-10,37,590686.85,141764.84,True,0.0378
2025-11,41,665642.52,159754.2,True,0.0422
2025-12,37,593386.99,142412.88,True,0.0477
2026-01,33,541148.43,64937.81,False,0.0372
2026-02,34,553078.14,132738.75,True,0.0389
2026-03,35,575480.76,138115.38,True,0.0433
2026-04,34,547781.03,131467.45,True,0.044
2026-05,32,523210.27,125570.46,True,0.052
2026-06,33,563950.09,135348.02,True,0.0435
