month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,22,354372.59,85049.42,True,0.086
2025-08,25,411208.31,98689.99,True,0.0873
2025-09,24,377507.58,90601.82,True,0.0719
2025-10,28,449275.02,107826.0,True,0.0915
2025-11,30,479444.38,115066.65,True,0.0751
2025-12,26,421405.41,101137.3,True,0.0829
2026-01,27,464988.3,111597.19,True,0.0826
2026-02,26,435084.15,104420.2,True,0.095
2026-03,28,469968.98,56396.28,False,0.0829
2026-04,25,418843.38,100522.41,True,0.0713
2026-05,25,408234.07,48988.09,False,0.0771
2026-06,25,415432.88,99703.89,True,0.0998
