tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,1344050.33,1344050.33,187910.69,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,1264150.46,1264150.46,150199.5,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,1344320.0,1344320.0,204920.11,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,1528989.38,1528989.38,162798.01,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-21,1,1511060.12,1511060.12,142557.74,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-21,1,1471734.67,1471734.67,186377.59,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,1401177.76,1401177.76,152126.99,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,1493079.06,1493079.06,184303.43,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,1374322.12,1374322.12,161201.98,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,1524201.3,1524201.3,194305.01,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,1357564.23,1357564.23,193170.79,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,1322099.95,1322099.95,192415.59,False
