tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-09-02,13,1674318.49,1674318.49,226260.89,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-25,5,1260551.1,1260551.1,188884.97,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,2592603.42,2592603.42,291894.85,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-30,10,1418722.79,1418722.79,102536.62,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,1389448.36,1389448.36,194911.77,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-21,1,1424289.56,1372095.62,161169.58,True
2026-01-01,GSTR-1/3B,2026-02-20,2026-03-05,13,1748106.14,1748106.14,179696.09,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-27,7,689279.35,755051.5,86120.26,True
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-27,7,1292113.5,1292113.5,165211.04,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-24,4,3007241.23,3007241.23,301350.99,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-26,6,1506503.42,1506503.42,129087.33,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-27,7,1514159.7,1514159.7,181231.21,False
