tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,916286.02,916286.02,121722.39,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-21,1,952608.34,952608.34,134824.92,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,1043030.2,1043030.2,130166.75,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,1418178.57,1418178.57,174309.08,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,1423159.61,1423159.61,164981.62,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,1163646.32,1163646.32,152813.27,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,1118654.8,1118654.8,89791.02,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,1096931.39,1096931.39,140587.19,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,1142188.27,1142188.27,150083.87,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,1062844.75,1062844.75,92283.21,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,1065828.14,1065828.14,139491.32,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,921915.05,921915.05,112662.56,False
