tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-22,2,1233008.58,1233008.58,154728.28,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-27,7,1190601.94,1058083.42,105586.33,True
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-26,6,1212079.72,1212079.72,110738.38,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-21,1,1216947.4,1216947.4,147733.16,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-26,6,1270135.83,1270135.83,122219.53,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-24,4,1154496.39,1067379.82,132972.98,True
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-23,3,1151437.13,1151437.13,130170.07,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-24,4,1069339.72,1069339.72,131543.02,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-25,5,1093786.86,1093786.86,142064.99,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-26,6,1132590.12,1132590.12,134630.75,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-24,4,959614.35,959614.35,103900.32,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-26,6,926438.84,926438.84,105962.27,False
