month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,27,429737.91,103137.1,True,0.0649
2025-08,26,426473.29,102353.59,True,0.0584
2025-09,29,464479.67,55737.56,False,0.0784
2025-10,25,399078.02,95778.72,True,0.0566
2025-11,27,428834.78,102920.35,True,0.0565
2025-12,28,449073.59,107777.66,True,0.0556
2026-01,32,545315.28,130875.67,True,0.0605
2026-02,30,501067.35,120256.16,True,0.0855
2026-03,31,505011.78,121202.83,True,0.0729
2026-04,30,482498.67,115799.68,True,0.0748
2026-05,24,393254.89,94381.17,True,0.0697
2026-06,34,562847.49,135083.4,True,0.0618
