tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,622534.13,622534.13,78342.34,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,710125.09,710125.09,103499.08,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-23,3,752968.98,752968.98,86758.5,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-23,3,757911.07,757911.07,73598.01,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,768331.83,768331.83,106550.26,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-22,2,755788.44,755788.44,97975.26,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,733192.96,733192.96,65028.39,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-22,2,828753.58,828753.58,98263.36,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-22,2,739865.37,739865.37,90643.45,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-22,2,733441.83,733441.83,111432.86,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-22,2,749542.33,749542.33,73791.16,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-21,1,773927.86,773927.86,112093.44,False
