tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-21,1,1302966.88,1302966.88,195312.59,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-21,1,1265394.89,1265394.89,135854.11,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,1390911.22,1390911.22,181176.18,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-21,1,1541054.55,1541054.55,192229.42,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,1575095.64,1575095.64,145988.03,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-21,1,1489131.21,1489131.21,171096.96,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-22,2,1376808.09,1376808.09,166185.01,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,1496261.79,1496261.79,246198.99,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,1581856.77,1581856.77,191490.2,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,1405831.93,1405831.93,132711.26,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,1408774.02,1408774.02,185919.97,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-21,1,1422461.15,1422461.15,146060.38,False
