month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,12,197311.88,47354.85,True,0.0857
2025-08,15,246053.17,59052.76,True,0.1028
2025-09,16,261311.36,62714.73,True,0.0782
2025-10,14,224539.21,26944.71,False,0.0965
2025-11,12,192956.46,46309.55,True,0.0842
2025-12,16,257003.11,61680.75,True,0.0836
2026-01,15,250066.79,60016.03,True,0.0893
2026-02,16,251757.64,60421.83,True,0.0791
2026-03,16,267472.9,64193.5,True,0.0867
2026-04,13,220550.96,52932.23,True,0.0848
2026-05,13,218448.89,52427.73,True,0.0793
2026-06,13,217454.21,52189.01,True,0.074
